zip,lambda,total_evs,num_years,avg_evs_per_year,p_value
91901,46963.0,140889,3,46963.0,0.24636183679259402
91906,31074.0,93222,3,31074.0,2.7972401984217704e-60
91910,1387217.3333333333,4161652,3,1387217.3333333333,
91911,2237094.3333333335,6711283,3,2237094.3333333335,
91913,39958.0,119874,3,39958.0,2.756301192049511e-82
91914,86782.0,260346,3,86782.0,3.674656600062553e-12
91915,292820.0,878460,3,292820.0,0.0
91931,606.0,1818,3,606.0,0.3042915543259416
91932,110518.0,331554,3,110518.0,0.5874054220437466
91935,9328.666666666666,27986,3,9328.666666666666,
91941,26982.0,80946,3,26982.0,0.0726407198745315
91942,332764.6666666667,998294,3,332764.6666666667,
91945,90198.66666666667,270596,3,90198.66666666667,
91950,1420618.6666666667,4261856,3,1420618.6666666667,
91977,96892.66666666667,290678,3,96892.66666666667,
92004,9937.333333333334,29812,3,9937.333333333334,
92007,38188.0,114564,3,38188.0,5.793642313668374e-10
92008,778637.3333333334,2335912,3,778637.3333333334,
92009,796363.3333333334,2389090,3,796363.3333333334,
92010,147060.0,441180,3,147060.0,7.422678224987147e-181
92011,222907.66666666666,668723,3,222907.66666666666,
92014,164844.33333333334,494533,3,164844.33333333334,
92019,431984.0,1295952,3,431984.0,7.960278840625344e-09
92020,1378680.0,4136040,3,1378680.0,1.1044214251102745e-44
92021,1419012.0,4257036,3,1419012.0,2.521665786501869e-56
92024,810156.0,2430468,3,810156.0,1.3001765300644225e-101
92025,670882.3333333334,2012647,3,670882.3333333334,
92026,378825.0,1136475,3,378825.0,8.834670209228206e-55
92027,176046.66666666666,528140,3,176046.66666666666,
92028,678595.0,2035785,3,678595.0,0.0
92029,617092.0,1851276,3,617092.0,1.3731335200388687e-75
92036,4963.666666666667,14891,3,4963.666666666667,
92037,2958462.0,8875386,3,2958462.0,0.0
92040,495304.3333333333,1485913,3,495304.3333333333,
92054,1646865.0,4940595,3,1646865.0,1.0654954713392855e-15
92055,1962.6666666666667,5888,3,1962.6666666666667,
92056,713061.3333333334,2139184,3,713061.3333333334,
92057,133467.0,400401,3,133467.0,1.4822812397224097e-10
92058,24531.0,73593,3,24531.0,0.004929574771974886
92059,5126.666666666667,15380,3,5126.666666666667,
92061,2604.0,7812,3,2604.0,0.9927300876171145
92064,347536.0,1042608,3,347536.0,3.973928870786612e-17
92065,208784.0,626352,3,208784.0,7.205868265184173e-05
92067,64904.0,194712,3,64904.0,0.19402356297119605
92069,552468.0,1657404,3,552468.0,9.577413735135751e-11
92070,5755.0,17265,3,5755.0,0.11368961355344477
92071,785468.0,2356404,3,785468.0,0.0021939631560307345
92075,410058.6666666667,1230176,3,410058.6666666667,
92078,920880.0,2762640,3,920880.0,4.443285697268333e-141
92081,316909.6666666667,950729,3,316909.6666666667,
92082,355368.0,1066104,3,355368.0,1.1696403039814717e-149
92083,148268.33333333334,444805,3,148268.33333333334,
92084,201121.66666666666,603365,3,201121.66666666666,
92086,6798.666666666667,20396,3,6798.666666666667,
92093,19492.0,58476,3,19492.0,0.0
92101,7694076.333333333,23082229,3,7694076.333333333,
92102,180310.0,540930,3,180310.0,0.00019738084651382357
92103,527688.0,1583064,3,527688.0,1.4460045760669598e-93
92104,94401.0,283203,3,94401.0,1.3031471582486157e-20
92105,47716.333333333336,143149,3,47716.333333333336,
92106,266792.3333333333,800377,3,266792.3333333333,
92108,964158.3333333334,2892475,3,964158.3333333334,
92109,525968.0,1577904,3,525968.0,1.0040238541739757e-291
92110,513452.0,1540356,3,513452.0,4.842171491561346e-110
92111,809020.0,2427060,3,809020.0,8.865628494280066e-81
92113,286114.6666666667,858344,3,286114.6666666667,
92114,108364.66666666667,325094,3,108364.66666666667,
92115,329685.0,989055,3,329685.0,5.757671607975022e-32
92116,23665.666666666668,70997,3,23665.666666666668,
92117,171124.0,513372,3,171124.0,2.61325088012151e-26
92118,260513.33333333334,781540,3,260513.33333333334,
92119,77389.33333333333,232168,3,77389.33333333333,
92120,203373.33333333334,610120,3,203373.33333333334,
92121,881180.6666666666,2643542,3,881180.6666666666,
92122,864972.3333333334,2594917,3,864972.3333333334,
92123,1021829.0,3065487,3,1021829.0,3.5662708396661004e-56
92126,1233981.0,3701943,3,1233981.0,2.212855667080224e-118
92127,2393977.0,7181931,3,2393977.0,4.692988307017338e-215
92128,455712.0,1367136,3,455712.0,6.990306910747154e-61
92129,250868.0,752604,3,250868.0,2.7709477697747886e-24
92130,2635864.3333333335,7907593,3,2635864.3333333335,
92131,179826.0,539478,3,179826.0,0.0010117576659416508
92132,202.66666666666666,608,3,202.66666666666666,
92135,214.33333333333334,643,3,214.33333333333334,
92136,14868.0,44604,3,14868.0,0.0013904130390113944
92139,27358.333333333332,82075,3,27358.333333333332,
92145,5149.666666666667,15449,3,5149.666666666667,
92154,806130.0,2418390,3,806130.0,1.757720340228078e-271
92155,1245.3333333333333,3736,3,1245.3333333333333,
92161,27.0,81,3,27.0,0.04978706836786395
92173,213646.0,640938,3,213646.0,5.583151750525489e-68
92182,3761.3333333333335,11284,3,3761.3333333333335,
92624,6794.666666666667,20384,3,6794.666666666667,
92629,47182.0,141546,3,47182.0,1.4351937320762483e-05
92649,62313.333333333336,186940,3,62313.333333333336,
92651,270324.0,810972,3,270324.0,3.744821395197481e-60
92653,259793.33333333334,779380,3,259793.33333333334,
92656,752279.6666666666,2256839,3,752279.6666666666,
92672,403017.3333333333,1209052,3,403017.3333333333,
92673,179615.33333333334,538846,3,179615.33333333334,
92675,254912.0,764736,3,254912.0,5.918875007845694e-12
92677,759066.0,2277198,3,759066.0,7.961763178065567e-47
92679,27449.333333333332,82348,3,27449.333333333332,
92688,107446.0,322338,3,107446.0,5.279985347041993e-07
92691,327589.3333333333,982768,3,327589.3333333333,
92692,433653.0,1300959,3,433653.0,8.149932937733067e-102
92694,441498.0,1324494,3,441498.0,0.0
92697,917.0,2751,3,917.0,0.002707665419499067
95126,671475.0,2014425,3,671475.0,1.7005091648762815e-39
